name,farm_value,farm_id,address_street,address_city,address_state
Oak Tree Pastures,539265.77,1,3582 Sachs Parkway,Santa Barbara,California
Blue Sky Orchards,265930.49,2,51 Darwin Road,El Paso,Texas
Riverbend Cattle Co.,28498.96,3,0487 Fremont Parkway,Fort Worth,Texas
Desert Bloom Farm,977863.29,4,0 Almo Point,Santa Barbara,California
Rolling Hills Vineyard,980190.8,5,4449 Bartillon Road,Albany,New York
Eastwood Farms,341572.29,6,99 Marquette Alley,San Bernardino,California
Red Barn Livestock,276254.41,7,27087 Schmedeman Road,Wilmington,Delaware
Spring Meadow Farm,348933.04,8,1877 Ridgeview Place,Saint Louis,Missouri
Misty Mountain Farm,924176.9,9,836 Hermina Court,El Paso,Texas
Starlight Berry Farm,73105.68,10,54799 Garrison Point,Cleveland,Ohio
Sunrise Farm,67517.07,11,834 Schiller Crossing,Duluth,Georgia
Northern Light Farm,489880.77,12,464 Valley Edge Park,Waco,Texas
Sunrise Farm,736219.1,13,596 Westport Point,Peoria,Illinois
Golden Harvest Acres,370257.99,14,962 Lawn Terrace,Norfolk,Virginia
Crystal River Fisheries,290648.17,15,86026 Fair Oaks Plaza,Louisville,Kentucky
Southern Sun Farm,349586.01,16,575 Village Green Alley,Charleston,West Virginia
Golden Harvest Acres,881301.05,17,081 Esch Parkway,Philadelphia,Pennsylvania
Oasis Fruit Gardens,861579.43,18,530 Nelson Junction,Waco,Texas
Polar Ridge Farm,219623.48,19,9572 Jenifer Center,Atlanta,Georgia
Sunset Orchard,95260.04,20,5 Orin Terrace,San Antonio,Texas
Sunnybrook Stables,552848.85,21,212 Judy Center,Tyler,Texas
Blue Sky Orchards,329452.32,22,68 Arizona Junction,El Paso,Texas
Meadowbrook Estate,446368.59,23,58 Huxley Avenue,South Bend,Indiana
Starlight Berry Farm,928264.32,24,74 Longview Parkway,Los Angeles,California
Red Barn Livestock,558962.33,25,2 Crownhardt Street,Austin,Texas
Red Barn Livestock,67469.22,26,2 Laurel Center,Houston,Texas
Sunny Meadow Farm,462266.21,27,2 Dapin Plaza,Richmond,Virginia
Cedar Grove Apiary,609334.18,28,3854 Judy Circle,Dallas,Texas
Southern Sun Farm,697431.58,29,7012 Hallows Trail,Houston,Texas
Eastwood Farms,706015.69,30,8427 2nd Junction,El Paso,Texas
Silver Lake Dairy,556542.53,31,69017 7th Court,Denver,Colorado
Sunset Orchard,450591.07,32,76 Nancy Junction,Charlotte,North Carolina
Blossom Hill Nurseries,66998.9,33,71 Nelson Plaza,Lake Worth,Florida
Eastwood Farms,902392.64,34,412 La Follette Parkway,New Orleans,Louisiana
Crystal River Fisheries,516211.93,35,1 Sherman Road,Pensacola,Florida
Winterfell Ranch,904011.34,36,7819 Kenwood Circle,Portsmouth,New Hampshire
Blossom Hill Nurseries,686572.15,37,72654 Lakewood Gardens Park,Saint Petersburg,Florida
Oak Tree Pastures,609459.04,38,607 Hintze Junction,Spokane,Washington
Lighthouse Seafood,611611.35,39,593 Meadow Ridge Way,Lincoln,Nebraska
Prairie Wind Farms,904279.07,40,209 Butterfield Alley,New York City,New York
