name,farm_value,farm_id,address_street,address_city,address_state
Blue Sky Orchards,710317.16,1,55286 Thompson Junction,Waru,
Lighthouse Seafood,401518.29,2,6313 Autumn Leaf Junction,Fengchuan,
Cedar Grove Apiary,98922.28,3,58347 Valley Edge Road,Gucheng,
Willow Creek Homestead,460451.51,4,9630 4th Park,Iqaluit,Nunavut
Winterfell Ranch,770781.44,5,5217 Browning Court,Rashaant,
Oasis Fruit Gardens,323214.11,6,06018 Pierstorff Pass,Pākpattan,
Sunnybrook Stables,308647.07,7,52500 Warrior Street,Suchen,
Sunny Meadow Farm,234226.81,8,9 Packers Way,Ngkiong,
Whispering Pines Farmstead,623577.86,9,3131 Blue Bill Park Pass,La Laja,
Polar Ridge Farm,634783.25,10,7552 Waywood Crossing,Talitsy,
Riverbend Cattle Co.,403751.37,11,14177 American Avenue,Aleshtar,
Rolling Hills Vineyard,500023.75,12,9107 David Road,Ampelókipoi,
Highland Farm,373191.74,13,00 Veith Center,Feteira Grande,Ilha de São Miguel
Desert Bloom Farm,536284.4,14,62314 Eggendart Point,Dimona,
Crystal River Fisheries,515895.71,15,268 Forest Dale Alley,Kostyantynivka,
Stone Ridge Plantation,676177.41,16,5091 Holy Cross Road,Srbinovo,
Cedar Grove Apiary,608531.93,17,875 Cherokee Center,Leshan,
Polar Ridge Farm,636023.39,18,94 Autumn Leaf Street,Sofifi,
Island Retreat Farm,312671.43,19,7481 Holmberg Junction,Black River,
Emerald Field Organics,492772.03,20,8316 Kingsford Trail,Sanlanbahai,
Blue Sky Orchards,240361.85,21,36035 Esch Street,Berdyans’k,
Sunrise Farm,778117.81,22,72079 Talisman Trail,Sanankerto,
Silver Lake Dairy,442483.12,23,9127 Westerfield Court,Molinos,
Autumn Ridge Farm,687780.2,24,07 5th Court,Kadyy,
Meadowbrook Estate,818677.58,25,96 Morningstar Terrace,Bzenec,
Sunnybrook Stables,940061.92,26,5912 Garrison Parkway,Piasek,
Highland Farm,267083.78,27,04353 Cherokee Street,Dongling,
Northern Light Farm,4018.37,28,54 Hoard Center,Kontagora,
Eastwood Farms,183747.87,29,76 Dakota Road,Inhambane,
Blossom Hill Nurseries,565854.76,30,105 Arkansas Court,Vila Nova de Gaia,Porto
Willow Creek Homestead,250398.49,31,26 Esch Way,Girona,Cataluna
Autumn Ridge Farm,350235.88,32,9 Shopko Street,Cigadog Hilir,
Sunset Orchard,801637.05,33,4586 Blue Bill Park Avenue,Cholargós,
Misty Mountain Farm,497506.97,34,757 Ryan Circle,Amirabad,
Island Retreat Farm,240724.89,35,9113 Londonderry Place,Bilajer,
Highland Farm,390604.91,36,66 Waywood Terrace,Tinampo,
Polar Ridge Farm,288629.2,37,41 Bellgrove Circle,Makoko,
Westfield Grains,56323.24,38,038 Mcguire Pass,Taichung,
Riverbend Cattle Co.,663740.11,39,67767 Sutherland Drive,Hangbu,
Emerald Field Organics,325387.61,40,95 Oak Avenue,Patemon,
